Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,Referee
2024-01-30,Tottenham,Watford,2,1,H,G Scott
2024-02-02,Brighton,Watford,0,0,D,S Hooper
2024-02-02,Burnley,Southampton,1,1,D,A Taylor
2024-02-02,Cardiff,Bournemouth,2,0,H,J Moss
2024-02-02,Chelsea,Huddersfield,5,0,H,P Tierney
2024-02-02,Crystal Palace,Fulham,2,0,H,M Oliver
2024-02-02,Everton,Wolves,1,3,A,L Mason
2024-02-02,Tottenham,Newcastle,1,0,H,A Marriner
2024-02-03,Leicester,Man United,0,1,A,M Dean
2024-02-03,Man City,Arsenal,3,1,H,M Atkinson
2024-02-04,West Ham,Liverpool,1,1,D,K Friend
2024-02-06,Everton,Man City,0,2,A,C Pawson
2024-02-09,Brighton,Burnley,1,3,A,S Attwell
2024-02-09,Crystal Palace,West Ham,1,1,D,C Pawson
2024-02-09,Fulham,Man United,0,3,A,P Tierney
2024-02-09,Huddersfield,Arsenal,1,2,A,J Moss
2024-02-09,Liverpool,Bournemouth,3,0,H,A Taylor
2024-02-09,Southampton,Cardiff,1,2,A,M Atkinson
2024-02-09,Watford,Everton,1,0,H,L Probert
2024-02-10,Man City,Chelsea,6,0,H,M Dean
2024-02-10,Tottenham,Leicester,3,1,H,M Oliver
2024-02-11,Wolves,Newcastle,1,1,D,G Scott
2024-02-22,Cardiff,Watford,1,5,A,S Hooper
2024-02-22,West Ham,Fulham,3,1,H,L Mason
2024-02-23,Bournemouth,Wolves,1,1,D,R East
2024-02-23,Burnley,Tottenham,2,1,H,M Dean
2024-02-23,Leicester,Crystal Palace,1,4,A,A Taylor
2024-02-23,Newcastle,Huddersfield,2,0,H,K Friend
2024-02-24,Arsenal,Southampton,2,0,H,G Scott
2024-02-24,Man United,Liverpool,0,0,D,M Oliver
2024-02-26,Cardiff,Everton,0,3,A,K Friend
2024-02-26,Huddersfield,Wolves,1,0,H,D Coote
2024-02-26,Leicester,Brighton,2,1,H,L Probert
2024-02-26,Newcastle,Burnley,2,0,H,C Pawson
2024-02-27,Arsenal,Bournemouth,5,1,H,C Kavanagh
2024-02-27,Chelsea,Tottenham,2,0,H,A Marriner
2024-02-27,Crystal Palace,Man United,1,3,A,M Atkinson
2024-02-27,Liverpool,Watford,5,0,H,G Scott
2024-02-27,Man City,West Ham,1,0,H,S Attwell
2024-02-27,Southampton,Fulham,2,0,H,A Taylor
2024-03-02,Bournemouth,Man City,0,1,A,K Friend
2024-03-02,Brighton,Huddersfield,1,0,H,M Dean
2024-03-02,Burnley,Crystal Palace,1,3,A,L Probert
2024-03-02,Man United,Southampton,3,2,H,S Attwell
2024-03-02,Tottenham,Arsenal,1,1,D,A Taylor
